state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,year,state_name,abbreviation
Telangana,Adilabad,GODAM NAGESH,M,49.0,ST,TRS,Car,425762,5085,430847,1386282,2014,Telangana,TG
Telangana,Adilabad,NARESH,M,37.0,ST,INC,Hand,257994,1563,259557,1386282,2014,Telangana,TG
Telangana,Adilabad,RAMESH RATHOD,M,48.0,ST,TDP,Bicycle,182879,1319,184198,1386282,2014,Telangana,TG
Telangana,Adilabad,RATHOD SADASHIV,M,55.0,ST,BSP,Elephant,94363,57,94420,1386282,2014,Telangana,TG
Telangana,Adilabad,NETHAWATH RAMDAS,M,44.0,ST,IND,Auto- Rickshaw,41028,4,41032,1386282,2014,Telangana,TG
Telangana,Adilabad,PAWAR KRISHNA,M,33.0,ST,IND,Bat,5051,4,5055,1386282,2014,Telangana,TG
Telangana,Adilabad,BANKA SAHADEV,M,53.0,ST,IND,Gas Cylinder,4780,7,4787,1386282,2014,Telangana,TG
Telangana,Adilabad,MOSALI CHINNAIAH,M,40.0,ST,IND,Almirah,8842,17,8859,1386282,2014,Telangana,TG
Telangana,Adilabad,None of the Above,,,,NOTA,NOTA,17021,63,17084,1386282,2014,Telangana,TG
Andhra Pradesh,Peddapalle,DR.JANAPATI SARAT BABU,M,42.0,SC,TDP,Bicycle,63174,160,63334,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,TAGARAM SHANKAR LAL,M,37.0,SC,BSP,Elephant,9430,19,9449,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,BALKA SUMAN,M,31.0,SC,TRS,Car,563214,2282,565496,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,G. VIVEKANAND,M,56.0,SC,INC,Hand,273441,897,274338,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,KALVALA SHANKAR,M,44.0,SC,PPOI,Television,9288,2,9290,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,KALVALA SANJEEV,M,37.0,SC,RPI,Sewing Machine,8609,0,8609,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,BOTHA VENKATA MALLAIAH,M,58.0,SC,BCUF,Chappals,2245,0,2245,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,J.V. RAJU,M,50.0,SC,NIP,Cup & Saucer,3020,0,3020,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,VENKATA SWAMY INJAM,M,42.0,SC,MaSP,Ring,3861,5,3866,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,VELTHURU MALLAIAH,M,57.0,SC,RP(K),Auto- Rickshaw,45976,1,45977,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,KAMILLA JAYA RAO,M,43.0,SC,IND,Scissors,2741,1,2742,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,GADDALA VINAY KUMAR,M,65.0,SC,IND,Ceiling Fan,3263,3,3266,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,GORRE RAMESH,M,43.0,SC,IND,Gas Cylinder,2359,2,2361,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,JINNA RAMADEVI,F,37.0,SC,IND,Battery Torch,9199,0,9199,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,THALLAPALLI SRINIVAS,M,35.0,SC,IND,Candles,3698,1,3699,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,BUPELLI NARAYANA,M,30.0,SC,IND,Bat,7255,3,7258,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,MOUTAM RAVINDER,M,33.0,SC,IND,Almirah,2671,3,2674,1425355,2014,Andhra Pradesh,AP
Andhra Pradesh,Peddapalle,None of the Above,,,,NOTA,NOTA,5344,17,5361,1425355,2014,Andhra Pradesh,AP
Telangana,Karimnagar,CHENNAMANENI VIDYA SAGAR RAO,M,73.0,GEN,BJP,Lotus,213836,992,214828,1550810,2014,Telangana,TG
Telangana,Karimnagar,PONNAM PRABHAKAR,M,47.0,GEN,INC,Hand,298386,2320,300706,1550810,2014,Telangana,TG
Telangana,Karimnagar,BURLA. RAVI,M,42.0,GEN,NCP,Clock,4768,1,4769,1550810,2014,Telangana,TG
Telangana,Karimnagar,B. LAXMAN,M,53.0,SC,BSP,Elephant,11289,39,11328,1550810,2014,Telangana,TG
Telangana,Karimnagar,VINOD KUMAR BOINAPALLY,M,54.0,GEN,TRS,Car,503197,2161,505358,1550810,2014,Telangana,TG
Telangana,Karimnagar,DR.DHARMAIAH VENDAVETLA,M,61.0,SC,BMUP,Cot,3771,1,3772,1550810,2014,Telangana,TG
Telangana,Karimnagar,L. PRABHAKAR REDDY,M,48.0,GEN,PPOI,Television,3942,1,3943,1550810,2014,Telangana,TG
Telangana,Karimnagar,MEESALA RAJI REDDY,M,44.0,GEN,YSRCP,Ceiling Fan,3071,4,3075,1550810,2014,Telangana,TG
Telangana,Karimnagar,RANAVENI LAKSHMAN,M,41.0,GEN,NIP,Cup & Saucer,2061,1,2062,1550810,2014,Telangana,TG
Telangana,Karimnagar,REDDI MALLA SRINIVAS,M,46.0,SC,RPI(A),Sewing Machine,8033,1,8034,1550810,2014,Telangana,TG
Telangana,Karimnagar,SHAIK MAHMOOD,M,58.0,GEN,WPOI,Auto- Rickshaw,39300,8,39308,1550810,2014,Telangana,TG
Telangana,Karimnagar,UPPULETI.LAXMAN,M,49.0,SC,IND,Bat,2445,0,2445,1550810,2014,Telangana,TG
Telangana,Karimnagar,KANDEM PRABHAKAR,M,45.0,GEN,IND,Gas Stove,4727,1,4728,1550810,2014,Telangana,TG
Telangana,Karimnagar,PULIKOTA RAMESH,M,34.0,SC,IND,Battery Torch,1772,1,1773,1550810,2014,Telangana,TG
Telangana,Karimnagar,MALLESH YADAV BARLA,M,26.0,GEN,IND,Coconut,2757,0,2757,1550810,2014,Telangana,TG
Telangana,Karimnagar,MOHAMMED AMJAD MOHIUDDIN,M,45.0,GEN,IND,Kite,6713,0,6713,1550810,2014,Telangana,TG
Telangana,Karimnagar,SRINIVAS REDDY LINGAMPALLY,M,41.0,GEN,IND,Carrom Board,3851,0,3851,1550810,2014,Telangana,TG
Telangana,Karimnagar,None of the Above,,,,NOTA,NOTA,5722,12,5734,1550810,2014,Telangana,TG
Telangana,Nizamabad,ENDALA LAKSHMINARAYANA,M,51.0,GEN,BJP,Lotus,222876,2457,225333,1496193,2014,Telangana,TG
Telangana,Nizamabad,KALVAKUNTLA KAVITHA,F,36.0,GEN,TRS,Car,435706,3601,439307,1496193,2014,Telangana,TG
Telangana,Nizamabad,TALARI RAMULU,M,46.0,SC,BSP,Elephant,7398,23,7421,1496193,2014,Telangana,TG
Telangana,Nizamabad,MADHU YASKHI GOUD,M,56.0,GEN,INC,Hand,270948,1175,272123,1496193,2014,Telangana,TG
Telangana,Nizamabad,ABDUL GANI,M,39.0,GEN,BCUF,Chappals,4791,0,4791,1496193,2014,Telangana,TG
Telangana,Nizamabad,BANJA VEERAPPA,M,53.0,GEN,PPOI,Television,3649,2,3651,1496193,2014,Telangana,TG
Telangana,Nizamabad,MALIK MOHTASIM KHAN,M,47.0,GEN,WPOI,Auto- Rickshaw,43738,76,43814,1496193,2014,Telangana,TG
