state,year,total_votes
Andaman & Nicobar Islands,2014,190328
Andhra Pradesh,2014,29957177
Arunachal Pradesh,2014,596956
Assam,2014,15085883
Bihar,2014,35885332
Chandigarh,2014,453455
Dadra & Nagar Haveli,2014,165286
Daman & Diu,2014,87233
Goa,2014,817000
Gujarat,2014,25824003
Haryana,2014,11495151
Himachal Pradesh,2014,3098500
Jammu & Kashmir,2014,3566863
Jharkhand,2014,12982940
Karnataka,2014,31038861
Kerala,2014,17975895
Lakshadweep,2014,43239
Madhya Pradesh,2014,29639807
Maharashtra,2014,48717419
Manipur,2014,1412636
Meghalaya,2014,1078058
Mizoram,2014,433201
Nagaland,2014,1038910
Nct Of Delhi,2014,8271766
Puducherry,2014,740017
Punjab,2014,13845132
Rajasthan,2014,27110642
Sikkim,2014,308967
Tamil Nadu,2014,40607149
Telangana,2014,18410011
Tripura,2014,2023829
Uttar Pradesh,2014,81093120
Uttarakhand,2014,4391890
West Bengal,2014,51631828
Andaman & Nicobar Islands,2019,207296
Andhra Pradesh,2019,31612534
Arunachal Pradesh,2019,652091
Assam,2019,17986066
Bihar,2019,40806661
Chandigarh,2019,456568
Chhattisgarh,2019,13614453
Dadra & Nagar Haveli,2019,198983
Daman & Diu,2019,87469
Goa,2019,853203
Gujarat,2019,29081964
Haryana,2019,12681536
Himachal Pradesh,2019,3850732
Jammu & Kashmir,2019,3552622
Jharkhand,2019,14961958
Karnataka,2019,35138682
Kerala,2019,20385216
Lakshadweep,2019,47009
Madhya Pradesh,2019,36910610
Maharashtra,2019,54054245
Manipur,2019,1617330
Meghalaya,2019,1367231
Mizoram,2019,499621
Nagaland,2019,1006357
Nct Of Delhi,2019,8679012
Odisha,2019,23794122
Puducherry,2019,790760
Punjab,2019,13765432
Rajasthan,2019,32441064
Sikkim,2019,351746
Tamil Nadu,2019,43392884
Telangana,2019,18642895
Tripura,2019,2153172
Uttar Pradesh,2019,86481398
Uttarakhand,2019,4842925
West Bengal,2019,57206976
